STREET,FROM,TO
06TH ST,I-676 OFF RAMP,MARKET ST
07TH ST,MARKET ST,I-676 ON RAMP
15TH ST,I-676 OFF RAMP,MARKET ST
16TH ST,MARKET ST,I-676 ON RAMP
20TH ST,CHESTNUT ST,MARKET ST
26TH ST,I-76 ON / OFF RAMPS,PENROSE AVE
34TH ST,UNIVERSITY AVE,GRAYS FERRY AVE
38TH ST,WALNUT ST,UNIVERSITY AVE
63RD ST,CITY AVE,WALNUT ST
ACADEMY RD,FRANKFORD AVE,GRANT AVE
ALLEGHENY AVE,HUNTING PARK AVE,I-95 ON / OFF RAMPS
BEN FRANKLIN PKWY,ART MUSEUM CIRCLE,16TH ST
BRIDGE ST,HARBISON AVE,I-95 ON RAMP
BROAD ST,CHELTENHAM AVE,I-95 ON / OFF RAMPS
BUSTLETON AVE,FRANKFORD AVE,COUNTY LINE RD
CHESTNUT ST,COBBS CREEK PKWY,20TH ST
CITY AVE,CITY BOUNDARY,I-76 ON RAMPS
COBBS CREEK PKWY,WALNUT ST,WOODLAND AVE
COTTMAN AVE,I-95 OFF RAMP,FILLMORE ST
ENTERPRISE AVE,ISLAND AVE,I-95 ON / OFF RAMPS
GERMANTOWN AVE,N BROAD ST,NORTHWESTERN AVE
GIRARD AVE,LANCASTER AVE,I-95 ON / OFF RAMPS
GRANT AVE,WELSH RD,ACADEMY RD
GRAYS FERRY AVE,34TH ST,WASHINGTON AVE
HARBISON AVE,BRIDGE,ROOSEVELT BLVD
HENRY AVE,CATHEDRAL RD,HUNTING PARK AVE
HUNTING PARK AVE,HENRY AVE,KELLY DR
ISLAND AVE,WOODLAND AVE,ENTERPRISE AVE
KELLY DR,LINCOLN DR,ART MUSEUM CIRCLE
LANCASTER AVE,CITY AVE,GIRARD AVE
LINCOLN DRIVE,RIDGE AVE,WISSAHICKON AVE
MARKET ST,SCHUYLKILL AVE,I-95 ON RAMP
OGONTZ AVE,WASHINGTON LA,CHELTENHAM AVE
POPLAR ST,WEST COLLEGE AVE,GIRARD AVE
PRINCETON AVE,TORRESDALE AVE,I-95 ON / OFF RAMPS
RIDGE AVE (NORTH),NORTHWESTERN AVE,CATHEDRAL RD
RIDGE AVE (SOUTH),WALNUT LN,CITY AVE ON RAMP
ROOSEVELT BLVD,09TH ST,CITY BOUNDARY
SCHUYLKILL AVE,MARKET ST,WALNUT ST
SEDGLEY AVE,ALLEGHENY AVE,ALLEGHENY AVE
STENTON AVE,NORTHWESTERN AVE,BROAD ST
TACONY ST / STATE RD,BRIDGE ST,TACONY-PALMYRA BRIDGE
TORRESDALE AVE,COTTMAN AVE,PRINCETON AVE
UNIVERSITY AVE,38TH / 39TH ST,34TH ST
WALNUT LN,WAYNE AVE,RIDGE AVE
WALNUT ST,BROAD ST,COBBS CREEK PKWY
WASHINGTON AVE,GRAYS FERRY AVE,CHRISTOPHER COLUMBUS BLVD
WASHINGTON LA,WAYNE AVE,OGONTZ AVE
WAYNE AVE,WALNUT LN,WASHINGTON LA
WELSH RD,CITY BOUNDARY,GRANT AVE
WEST COLLEGE AVE,POPLAR ST,GIRARD AVE
WEST RIVER DR,ART MUSEUM CIRCLE,FALLS BRIDGE
WISSAHICKON AVE,LINCOLN DR,WALNUT LN
WOODLAND AVE,COBBS CREEK PKWY,UNIVERSITY AVE
